order_id,food_name,price,cost,margin,margin_percentage,margin_per,rating,cuisine,city,category,quantity,timestamp,confidence
100006,Veg Wrap,134,61.24,72.75999999999999,54.3,218.28,4.73,Chinese,Jaipur,Hidden Star,3,2026-03-31 19:13:00,0.0
100007,Veg Burger,309,147.64,161.36,52.22,161.36,4.78,Street Food,Pune,Star,1,2026-03-26 06:05:00,0.7777274669687799
100008,Hakka Noodles,82,46.48,35.52,43.32,71.04,4.24,Italian,Chennai,Star,2,2026-03-27 09:51:00,0.7129963898916968
100008,Veg Manchurian,391,160.39,230.61,58.98,230.61,4.87,Italian,Chennai,Risk,1,2026-03-27 09:51:00,0.6991150442477877
100009,Veg Biryani,382,170.2,211.8,55.45,423.6,4.64,Italian,Surat,Risk,2,2026-03-29 05:25:00,0.7068627450980391
100009,Lemon Soda,143,83.66,59.34,41.5,118.68,4.73,Chinese,Surat,Hidden Star,2,2026-03-29 05:25:00,0.6782690498588899
100010,Cappuccino,207,142.83,64.16999999999999,31.0,128.33999999999995,4.57,South Indian,Mumbai,Dog,2,2026-03-17 10:25:00,0.0
100010,Ice Cream Vanilla,346,199.35,146.65,42.38,146.65,3.99,Street Food,Mumbai,Risk,1,2026-03-17 10:25:00,0.0
100010,Mint Mojito,283,139.51,143.49,50.7,143.49,3.8,Fast Food,Mumbai,Star,1,2026-03-17 10:25:00,0.0
100010,Schezwan Noodles,130,83.73,46.27,35.59,92.54,3.83,North Indian,Mumbai,Hidden Star,2,2026-03-17 10:25:00,0.0
100011,Kadhi Chawal,323,207.88,115.12,35.64,345.36,4.37,Fast Food,Jaipur,Dog,3,2026-03-14 23:06:00,0.0
100011,Veg Soup,227,107.53,119.47,52.63,358.41,4.31,Continental,Jaipur,Dog,3,2026-03-14 23:06:00,0.0
100011,Garlic Bread,200,104.43,95.57,47.78,191.14,4.83,South Indian,Jaipur,Dog,2,2026-03-14 23:06:00,0.7054478301015698
100011,Plain Dosa,162,76.82,85.18,52.58,170.36,4.11,Fast Food,Jaipur,Risk,2,2026-03-14 23:06:00,0.0
100012,Rajma Chawal,167,69.3,97.7,58.5,195.4,4.49,South Indian,Chennai,Star,2,2026-03-29 17:16:00,0.0
100012,Pav Bhaji,168,96.56,71.44,42.52,214.32,4.39,Italian,Chennai,Hidden Star,3,2026-03-29 17:16:00,0.0
100013,Masala Dosa,397,203.88,193.12,48.64,193.12,3.67,North Indian,Delhi,Dog,1,2026-03-10 12:02:00,0.7004608294930875
100013,Cold Coffee,298,208.49,89.50999999999999,30.04,179.01999999999998,4.18,Fast Food,Delhi,Dog,2,2026-03-10 12:02:00,0.7314725697786333
100014,Veg Burger,309,147.64,161.36,52.22,484.08,4.78,Street Food,Hyderabad,Star,3,2026-03-05 02:20:00,0.7777274669687799
100014,Fried Rice,101,41.78,59.22,58.63,118.44,3.96,Italian,Hyderabad,Dog,2,2026-03-05 02:20:00,0.0
100014,Latte,158,89.86,68.14,43.13,204.42,4.17,Street Food,Hyderabad,Star,3,2026-03-05 02:20:00,0.0
100015,Club Sandwich,239,119.5,119.5,50.0,119.5,3.93,Street Food,Jaipur,Risk,1,2026-03-24 18:59:00,0.0
100015,Veg Pizza,189,100.97,88.03,46.58,176.06,4.08,Chinese,Jaipur,Dog,2,2026-03-24 18:59:00,0.0
100015,Aloo Paratha,377,173.61,203.39,53.95,203.39,4.48,Mexican,Jaipur,Hidden Star,1,2026-03-24 18:59:00,0.0
100015,Chole Bhature,281,143.58,137.42,48.9,137.42,4.43,North Indian,Jaipur,Hidden Star,1,2026-03-24 18:59:00,0.0
100016,Hakka Noodles,82,46.48,35.52,43.32,71.04,4.24,Italian,Jaipur,Star,2,2026-03-11 21:55:00,0.7129963898916968
100016,Veg Manchurian,391,160.39,230.61,58.98,461.22,4.87,Italian,Jaipur,Risk,2,2026-03-11 21:55:00,0.6991150442477877
100017,Hakka Noodles,82,46.48,35.52,43.32,71.04,4.24,Italian,Pune,Star,2,2026-03-09 20:21:00,0.7129963898916968
100017,Veg Manchurian,391,160.39,230.61,58.98,691.83,4.87,Italian,Pune,Risk,3,2026-03-09 20:21:00,0.6991150442477877
100018,Hakka Noodles,82,46.48,35.52,43.32,35.52,4.24,Italian,Bangalore,Star,1,2026-03-16 18:42:00,0.7129963898916968
100018,Veg Manchurian,391,160.39,230.61,58.98,461.22,4.87,Italian,Bangalore,Risk,2,2026-03-16 18:42:00,0.6991150442477877
100019,Mint Mojito,283,139.51,143.49,50.7,143.49,3.8,Fast Food,Jaipur,Star,1,2026-03-07 03:46:00,0.0
100019,Margherita Pizza,182,114.09,67.91,37.31,67.91,4.61,North Indian,Jaipur,Risk,1,2026-03-07 03:46:00,0.0
100020,Samosa,198,95.3,102.7,51.87,308.1,3.65,Chinese,Bangalore,Dog,3,2026-03-29 04:51:00,0.0
100021,Paneer Pizza,154,62.89,91.11,59.16,182.22,3.92,Continental,Pune,Star,2,2026-03-26 02:01:00,0.7290076335877863
100021,Garlic Bread,200,104.43,95.57,47.78,95.57,4.83,South Indian,Pune,Dog,1,2026-03-26 02:01:00,0.7054478301015698
100022,Paneer Wrap,116,69.24,46.760000000000005,40.31,140.28000000000003,4.33,North Indian,Delhi,Hidden Star,3,2026-03-30 04:32:00,0.0
100022,Veg Wrap,134,61.24,72.75999999999999,54.3,218.28,4.73,Chinese,Delhi,Hidden Star,3,2026-03-30 04:32:00,0.0
100022,Tomato Soup,175,73.14,101.86,58.21,203.72,3.99,South Indian,Delhi,Dog,2,2026-03-30 04:32:00,0.0
100023,Nachos,87,43.25,43.75,50.29,43.75,3.78,Fast Food,Mumbai,Hidden Star,1,2026-03-08 18:31:00,0.0
100024,Pav Bhaji,168,96.56,71.44,42.52,71.44,4.39,Italian,Mumbai,Hidden Star,1,2026-03-13 03:58:00,0.0
100024,Chilli Paneer,262,162.44,99.56,38.0,298.68,3.97,Mexican,Mumbai,Star,3,2026-03-13 03:58:00,0.0
100024,Margherita Pizza,182,114.09,67.91,37.31,135.82,4.61,North Indian,Mumbai,Risk,2,2026-03-13 03:58:00,0.0
100024,Paneer Wrap,116,69.24,46.760000000000005,40.31,93.52,4.33,North Indian,Mumbai,Hidden Star,2,2026-03-13 03:58:00,0.0
100025,Veg Biryani,382,170.2,211.8,55.45,423.6,4.64,Italian,Jaipur,Risk,2,2026-03-16 09:25:00,0.7068627450980391
100025,Lemon Soda,143,83.66,59.34,41.5,118.68,4.73,Chinese,Jaipur,Hidden Star,2,2026-03-16 09:25:00,0.6782690498588899
100026,Coke,226,120.6,105.4,46.64,316.20000000000005,4.68,Chinese,Surat,Star,3,2026-03-27 20:28:00,0.7108585858585857
100026,Veg Cutlet,267,170.35,96.65,36.2,193.3,3.99,Chinese,Surat,Risk,2,2026-03-27 20:28:00,0.0
100026,Idli Sambar,201,112.47,88.53,44.04,265.59000000000003,4.82,Fast Food,Surat,Risk,3,2026-03-27 20:28:00,0.0
100027,Greek Salad,254,147.04,106.96,42.11,213.92,3.97,Italian,Chennai,Hidden Star,2,2026-03-11 06:41:00,0.0
100027,Sweet Corn Soup,379,204.3,174.7,46.09,349.4,4.09,North Indian,Chennai,Dog,2,2026-03-11 06:41:00,0.0
100027,Strawberry Shake,82,49.73,32.27,39.35,32.27,4.42,Fast Food,Chennai,Dog,1,2026-03-11 06:41:00,0.0
100027,Paneer Butter Masala,152,65.53,86.47,56.89,172.94,4.83,South Indian,Chennai,Star,2,2026-03-11 06:41:00,0.0
100028,Greek Salad,254,147.04,106.96,42.11,106.96,3.97,Italian,Bangalore,Hidden Star,1,2026-03-22 05:09:00,0.0
100028,Kachori,169,97.76,71.24,42.15,71.24,4.5,Fast Food,Bangalore,Hidden Star,1,2026-03-22 05:09:00,0.0
100028,Garlic Bread,200,104.43,95.57,47.78,95.57,4.83,South Indian,Bangalore,Dog,1,2026-03-22 05:09:00,0.7054478301015698
100028,Club Sandwich,239,119.5,119.5,50.0,239.0,3.93,Street Food,Bangalore,Risk,2,2026-03-22 05:09:00,0.0
100029,Coke,226,120.6,105.4,46.64,316.20000000000005,4.68,Chinese,Jaipur,Star,3,2026-03-19 15:18:00,0.7108585858585857
100029,Pepsi,316,148.86,167.14,52.89,501.42,4.71,Fast Food,Jaipur,Dog,3,2026-03-19 15:18:00,0.0
100030,Sweet Corn Soup,379,204.3,174.7,46.09,349.4,4.09,North Indian,Hyderabad,Dog,2,2026-03-22 02:06:00,0.0
100030,Pav Bhaji,168,96.56,71.44,42.52,214.32,4.39,Italian,Hyderabad,Hidden Star,3,2026-03-22 02:06:00,0.0
100030,Falafel Wrap,349,192.85,156.15,44.74,312.3,4.89,Continental,Hyderabad,Hidden Star,2,2026-03-22 02:06:00,0.0
100031,Hakka Noodles,82,46.48,35.52,43.32,35.52,4.24,Italian,Jaipur,Star,1,2026-03-20 14:59:00,0.7129963898916968
100031,Veg Manchurian,391,160.39,230.61,58.98,691.83,4.87,Italian,Jaipur,Risk,3,2026-03-20 14:59:00,0.6991150442477877
100032,Schezwan Noodles,130,83.73,46.27,35.59,92.54,3.83,North Indian,Surat,Hidden Star,2,2026-03-05 15:23:00,0.0
100032,Tandoori Roti,213,147.17,65.83000000000001,30.91,65.83000000000001,3.91,Italian,Surat,Hidden Star,1,2026-03-05 15:23:00,0.0
100032,Corn Pizza,379,205.01,173.99,45.91,521.97,4.74,South Indian,Surat,Star,3,2026-03-05 15:23:00,0.0
100032,Paneer Pizza,154,62.89,91.11,59.16,91.11,3.92,Continental,Surat,Star,1,2026-03-05 15:23:00,0.7290076335877863
100033,Veg Biryani,382,170.2,211.8,55.45,423.6,4.64,Italian,Kolkata,Risk,2,2026-03-18 19:07:00,0.7068627450980391
100033,Lemon Soda,143,83.66,59.34,41.5,118.68,4.73,Chinese,Kolkata,Hidden Star,2,2026-03-18 19:07:00,0.6782690498588899
100034,Mushroom Pizza,213,116.2,96.8,45.45,290.4,4.02,Continental,Chennai,Hidden Star,3,2026-03-04 21:56:00,0.0
100034,Club Sandwich,239,119.5,119.5,50.0,239.0,3.93,Street Food,Chennai,Risk,2,2026-03-04 21:56:00,0.0
100035,Tandoori Roti,213,147.17,65.83000000000001,30.91,65.83000000000001,3.91,Italian,Kolkata,Hidden Star,1,2026-03-23 08:29:00,0.0
100035,Hakka Noodles,82,46.48,35.52,43.32,71.04,4.24,Italian,Kolkata,Star,2,2026-03-23 08:29:00,0.7129963898916968
100036,Veg Biryani,382,170.2,211.8,55.45,211.8,4.64,Italian,Kolkata,Risk,1,2026-03-31 00:33:00,0.7068627450980391
100036,Lemon Soda,143,83.66,59.34,41.5,178.02,4.73,Chinese,Kolkata,Hidden Star,3,2026-03-31 00:33:00,0.6782690498588899
100037,Hakka Noodles,82,46.48,35.52,43.32,106.56,4.24,Italian,Pune,Star,3,2026-03-16 12:38:00,0.7129963898916968
100037,Masala Dosa,397,203.88,193.12,48.64,386.24,3.67,North Indian,Pune,Dog,2,2026-03-16 12:38:00,0.7004608294930875
100037,Idli Sambar,201,112.47,88.53,44.04,177.06,4.82,Fast Food,Pune,Risk,2,2026-03-16 12:38:00,0.0
100037,Dal Makhani,263,163.03,99.97,38.01,99.97,4.9,North Indian,Pune,Star,1,2026-03-16 12:38:00,0.0
100038,Masala Dosa,397,203.88,193.12,48.64,193.12,3.67,North Indian,Ahmedabad,Dog,1,2026-03-01 06:40:00,0.7004608294930875
100038,Cold Coffee,298,208.49,89.50999999999999,30.04,179.01999999999998,4.18,Fast Food,Ahmedabad,Dog,2,2026-03-01 06:40:00,0.7314725697786333
100039,Paneer Pizza,154,62.89,91.11,59.16,91.11,3.92,Continental,Delhi,Star,1,2026-03-20 09:42:00,0.7290076335877863
100039,Garlic Bread,200,104.43,95.57,47.78,286.71,4.83,South Indian,Delhi,Dog,3,2026-03-20 09:42:00,0.7054478301015698
100040,Chole Bhature,281,143.58,137.42,48.9,412.26,4.43,North Indian,Surat,Hidden Star,3,2026-03-08 13:32:00,0.0
100040,Tomato Soup,175,73.14,101.86,58.21,305.58,3.99,South Indian,Surat,Dog,3,2026-03-08 13:32:00,0.0
100040,Coke,226,120.6,105.4,46.64,105.4,4.68,Chinese,Surat,Star,1,2026-03-08 13:32:00,0.7108585858585857
100040,Cold Coffee,298,208.49,89.50999999999999,30.04,89.50999999999999,4.18,Fast Food,Surat,Dog,1,2026-03-08 13:32:00,0.7314725697786333
100041,Chole Bhature,281,143.58,137.42,48.9,137.42,4.43,North Indian,Ahmedabad,Hidden Star,1,2026-03-15 05:15:00,0.0
100041,Dal Makhani,263,163.03,99.97,38.01,99.97,4.9,North Indian,Ahmedabad,Star,1,2026-03-15 05:15:00,0.0
100042,Onion Rings,286,170.04,115.96,40.55,347.88,4.35,South Indian,Hyderabad,Dog,3,2026-03-06 14:14:00,0.0
100043,Veg Biryani,382,170.2,211.8,55.45,635.4000000000001,4.64,Italian,Mumbai,Risk,3,2026-03-09 18:45:00,0.7068627450980391
100043,Lemon Soda,143,83.66,59.34,41.5,118.68,4.73,Chinese,Mumbai,Hidden Star,2,2026-03-09 18:45:00,0.6782690498588899
100044,Veg Burger,309,147.64,161.36,52.22,161.36,4.78,Street Food,Jaipur,Star,1,2026-03-05 21:03:00,0.7777274669687799
100044,Fries,240,156.7,83.30000000000001,34.71,166.60000000000002,4.65,North Indian,Jaipur,Star,2,2026-03-05 21:03:00,0.8208795355839629
100044,Coke,226,120.6,105.4,46.64,105.4,4.68,Chinese,Jaipur,Star,1,2026-03-05 21:03:00,0.7108585858585857
100045,Pepsi,316,148.86,167.14,52.89,167.14,4.71,Fast Food,Pune,Dog,1,2026-03-07 00:57:00,0.0
100045,Masala Dosa,397,203.88,193.12,48.64,579.36,3.67,North Indian,Pune,Dog,3,2026-03-07 00:57:00,0.7004608294930875
100045,Paneer Momos,346,187.29,158.71,45.87,158.71,3.72,North Indian,Pune,Risk,1,2026-03-07 00:57:00,0.0
100045,Spring Rolls,186,125.31,60.69,32.63,182.07,4.57,Chinese,Pune,Hidden Star,3,2026-03-07 00:57:00,0.0
100046,Paneer Paratha,236,141.2,94.8,40.17,189.6,4.15,South Indian,Hyderabad,Star,2,2026-03-24 05:09:00,0.0
100046,Mango Shake,382,170.93,211.07,55.25,633.21,4.76,Italian,Hyderabad,Star,3,2026-03-24 05:09:00,0.0
100046,Nachos,87,43.25,43.75,50.29,131.25,3.78,Fast Food,Hyderabad,Hidden Star,3,2026-03-24 05:09:00,0.0
100046,Pasta Alfredo,130,69.13,60.870000000000005,46.82,60.870000000000005,4.21,North Indian,Hyderabad,Risk,1,2026-03-24 05:09:00,0.0
100047,Paneer Pizza,154,62.89,91.11,59.16,182.22,3.92,Continental,Ahmedabad,Star,2,2026-03-03 15:01:00,0.7290076335877863
100047,Garlic Bread,200,104.43,95.57,47.78,286.71,4.83,South Indian,Ahmedabad,Dog,3,2026-03-03 15:01:00,0.7054478301015698
100048,Hakka Noodles,82,46.48,35.52,43.32,106.56,4.24,Italian,Jaipur,Star,3,2026-03-20 21:41:00,0.7129963898916968
100048,Veg Manchurian,391,160.39,230.61,58.98,691.83,4.87,Italian,Jaipur,Risk,3,2026-03-20 21:41:00,0.6991150442477877
100049,Lemon Soda,143,83.66,59.34,41.5,59.34,4.73,Chinese,Bangalore,Hidden Star,1,2026-03-29 20:45:00,0.6782690498588899
100049,Idli Sambar,201,112.47,88.53,44.04,177.06,4.82,Fast Food,Bangalore,Risk,2,2026-03-29 20:45:00,0.0
100049,Spring Rolls,186,125.31,60.69,32.63,121.38,4.57,Chinese,Bangalore,Hidden Star,2,2026-03-29 20:45:00,0.0
100049,Veg Burger,309,147.64,161.36,52.22,161.36,4.78,Street Food,Bangalore,Star,1,2026-03-29 20:45:00,0.7777274669687799
100050,Falafel Wrap,349,192.85,156.15,44.74,468.4500000000001,4.89,Continental,Jaipur,Hidden Star,3,2026-03-22 12:26:00,0.0
100050,Brownie,373,175.46,197.54,52.96,395.08,4.62,Italian,Jaipur,Star,2,2026-03-22 12:26:00,0.0
100050,Butter Naan,304,197.11,106.89,35.16,320.67,4.51,Mexican,Jaipur,Dog,3,2026-03-22 12:26:00,0.0
100051,Paneer Biryani,199,133.2,65.80000000000001,33.07,131.60000000000002,4.62,Italian,Bangalore,Star,2,2026-03-02 04:07:00,0.0
100051,Hakka Noodles,82,46.48,35.52,43.32,35.52,4.24,Italian,Bangalore,Star,1,2026-03-02 04:07:00,0.7129963898916968
100051,Masala Dosa,397,203.88,193.12,48.64,193.12,3.67,North Indian,Bangalore,Dog,1,2026-03-02 04:07:00,0.7004608294930875
100051,Pav Bhaji,168,96.56,71.44,42.52,142.88,4.39,Italian,Bangalore,Hidden Star,2,2026-03-02 04:07:00,0.0
100052,Veg Biryani,382,170.2,211.8,55.45,423.6,4.64,Italian,Kolkata,Risk,2,2026-03-06 15:48:00,0.7068627450980391
100052,Lemon Soda,143,83.66,59.34,41.5,178.02,4.73,Chinese,Kolkata,Hidden Star,3,2026-03-06 15:48:00,0.6782690498588899
100053,Veg Burger,309,147.64,161.36,52.22,161.36,4.78,Street Food,Bangalore,Star,1,2026-03-25 05:42:00,0.7777274669687799
100053,Fries,240,156.7,83.30000000000001,34.71,249.90000000000003,4.65,North Indian,Bangalore,Star,3,2026-03-25 05:42:00,0.8208795355839629
100053,Coke,226,120.6,105.4,46.64,105.4,4.68,Chinese,Bangalore,Star,1,2026-03-25 05:42:00,0.7108585858585857
100054,Masala Dosa,397,203.88,193.12,48.64,386.24,3.67,North Indian,Hyderabad,Dog,2,2026-03-20 03:50:00,0.7004608294930875
100054,Cold Coffee,298,208.49,89.50999999999999,30.04,268.53,4.18,Fast Food,Hyderabad,Dog,3,2026-03-20 03:50:00,0.7314725697786333
100055,Farmhouse Pizza,142,88.0,54.0,38.03,162.0,4.4,Street Food,Pune,Risk,3,2026-03-12 08:56:00,0.0
100055,Cheese Balls,182,75.57,106.43,58.48,319.29,4.78,Street Food,Pune,Risk,3,2026-03-12 08:56:00,0.0
100056,Paneer Biryani,199,133.2,65.80000000000001,33.07,65.80000000000001,4.62,Italian,Bangalore,Star,1,2026-03-21 10:39:00,0.0
100056,Idli Sambar,201,112.47,88.53,44.04,265.59000000000003,4.82,Fast Food,Bangalore,Risk,3,2026-03-21 10:39:00,0.0
100056,Mint Mojito,283,139.51,143.49,50.7,143.49,3.8,Fast Food,Bangalore,Star,1,2026-03-21 10:39:00,0.0
100057,Veg Biryani,382,170.2,211.8,55.45,211.8,4.64,Italian,Pune,Risk,1,2026-03-23 14:19:00,0.7068627450980391
100057,Lemon Soda,143,83.66,59.34,41.5,118.68,4.73,Chinese,Pune,Hidden Star,2,2026-03-23 14:19:00,0.6782690498588899
100058,Paneer Paratha,236,141.2,94.8,40.17,94.8,4.15,South Indian,Ahmedabad,Star,1,2026-03-14 15:25:00,0.0
100059,Peri Peri Fries,297,125.73,171.26999999999998,57.67,342.54,3.87,Continental,Chennai,Dog,2,2026-03-01 16:39:00,0.0
100059,Paneer Paratha,236,141.2,94.8,40.17,94.8,4.15,South Indian,Chennai,Star,1,2026-03-01 16:39:00,0.0
100059,Dal Makhani,263,163.03,99.97,38.01,99.97,4.9,North Indian,Chennai,Star,1,2026-03-01 16:39:00,0.0
100059,Veg Wrap,134,61.24,72.75999999999999,54.3,218.28,4.73,Chinese,Chennai,Hidden Star,3,2026-03-01 16:39:00,0.0
100060,Butter Naan,304,197.11,106.89,35.16,106.89,4.51,Mexican,Jaipur,Dog,1,2026-03-09 22:24:00,0.0
100060,Cold Coffee,298,208.49,89.50999999999999,30.04,268.53,4.18,Fast Food,Jaipur,Dog,3,2026-03-09 22:24:00,0.7314725697786333
100061,Masala Dosa,397,203.88,193.12,48.64,386.24,3.67,North Indian,Chennai,Dog,2,2026-03-13 01:56:00,0.7004608294930875
100061,Samosa,198,95.3,102.7,51.87,308.1,3.65,Chinese,Chennai,Dog,3,2026-03-13 01:56:00,0.0
100062,Vada Pav,107,59.72,47.28,44.19,94.56,3.69,Continental,Bangalore,Dog,2,2026-03-25 11:53:00,0.0
100063,Kadhi Chawal,323,207.88,115.12,35.64,230.24,4.37,Fast Food,Mumbai,Dog,2,2026-03-11 17:23:00,0.0
100063,Dal Makhani,263,163.03,99.97,38.01,299.91,4.9,North Indian,Mumbai,Star,3,2026-03-11 17:23:00,0.0
100063,Pasta Alfredo,130,69.13,60.870000000000005,46.82,182.61,4.21,North Indian,Mumbai,Risk,3,2026-03-11 17:23:00,0.0
100063,Falooda,226,133.56,92.44,40.9,277.32,4.12,Fast Food,Mumbai,Risk,3,2026-03-11 17:23:00,0.0
100064,Ice Cream Vanilla,346,199.35,146.65,42.38,146.65,3.99,Street Food,Ahmedabad,Risk,1,2026-03-26 11:44:00,0.0
100065,Masala Dosa,397,203.88,193.12,48.64,386.24,3.67,North Indian,Bangalore,Dog,2,2026-03-05 03:09:00,0.7004608294930875
100065,Cold Coffee,298,208.49,89.50999999999999,30.04,179.01999999999998,4.18,Fast Food,Bangalore,Dog,2,2026-03-05 03:09:00,0.7314725697786333
100066,Peri Peri Fries,297,125.73,171.26999999999998,57.67,171.26999999999998,3.87,Continental,Chennai,Dog,1,2026-03-23 10:27:00,0.0
100066,Chole Bhature,281,143.58,137.42,48.9,412.26,4.43,North Indian,Chennai,Hidden Star,3,2026-03-23 10:27:00,0.0
100066,Veg Burger,309,147.64,161.36,52.22,161.36,4.78,Street Food,Chennai,Star,1,2026-03-23 10:27:00,0.7777274669687799
100066,Veg Momos,80,54.18,25.82,32.27,51.64,4.78,Mexican,Chennai,Risk,2,2026-03-23 10:27:00,0.0
100067,Kachori,169,97.76,71.24,42.15,71.24,4.5,Fast Food,Delhi,Hidden Star,1,2026-03-25 23:55:00,0.0
100068,Idli Sambar,201,112.47,88.53,44.04,88.53,4.82,Fast Food,Mumbai,Risk,1,2026-03-19 07:46:00,0.0
100068,Pepsi,316,148.86,167.14,52.89,501.42,4.71,Fast Food,Mumbai,Dog,3,2026-03-19 07:46:00,0.0
100068,Ice Cream Chocolate,188,120.26,67.74,36.03,135.48,3.72,Italian,Mumbai,Star,2,2026-03-19 07:46:00,0.0
100069,Chole Bhature,281,143.58,137.42,48.9,412.26,4.43,North Indian,Ahmedabad,Hidden Star,3,2026-03-07 01:55:00,0.0
100069,Paneer Pizza,154,62.89,91.11,59.16,273.33,3.92,Continental,Ahmedabad,Star,3,2026-03-07 01:55:00,0.7290076335877863
100069,Tandoori Roti,213,147.17,65.83000000000001,30.91,197.49000000000004,3.91,Italian,Ahmedabad,Hidden Star,3,2026-03-07 01:55:00,0.0
100070,Hakka Noodles,82,46.48,35.52,43.32,71.04,4.24,Italian,Hyderabad,Star,2,2026-03-09 14:53:00,0.7129963898916968
100070,Veg Manchurian,391,160.39,230.61,58.98,230.61,4.87,Italian,Hyderabad,Risk,1,2026-03-09 14:53:00,0.6991150442477877
100071,Paneer Paratha,236,141.2,94.8,40.17,94.8,4.15,South Indian,Delhi,Star,1,2026-03-03 04:40:00,0.0
100072,Lemon Soda,143,83.66,59.34,41.5,59.34,4.73,Chinese,Bangalore,Hidden Star,1,2026-03-08 04:40:00,0.6782690498588899
100072,Paneer Wrap,116,69.24,46.760000000000005,40.31,140.28000000000003,4.33,North Indian,Bangalore,Hidden Star,3,2026-03-08 04:40:00,0.0
100072,Corn Pizza,379,205.01,173.99,45.91,173.99,4.74,South Indian,Bangalore,Star,1,2026-03-08 04:40:00,0.0
100072,Veg Momos,80,54.18,25.82,32.27,25.82,4.78,Mexican,Bangalore,Risk,1,2026-03-08 04:40:00,0.0
100073,Hakka Noodles,82,46.48,35.52,43.32,71.04,4.24,Italian,Ahmedabad,Star,2,2026-03-11 21:15:00,0.7129963898916968
100073,Veg Manchurian,391,160.39,230.61,58.98,230.61,4.87,Italian,Ahmedabad,Risk,1,2026-03-11 21:15:00,0.6991150442477877
100074,Ice Cream Vanilla,346,199.35,146.65,42.38,146.65,3.99,Street Food,Delhi,Risk,1,2026-03-20 22:22:00,0.0
100074,Nachos,87,43.25,43.75,50.29,131.25,3.78,Fast Food,Delhi,Hidden Star,3,2026-03-20 22:22:00,0.0
100075,Masala Dosa,397,203.88,193.12,48.64,193.12,3.67,North Indian,Kolkata,Dog,1,2026-03-28 07:47:00,0.7004608294930875
100075,Cold Coffee,298,208.49,89.50999999999999,30.04,268.53,4.18,Fast Food,Kolkata,Dog,3,2026-03-28 07:47:00,0.7314725697786333
100076,Veg Biryani,382,170.2,211.8,55.45,211.8,4.64,Italian,Delhi,Risk,1,2026-03-21 16:21:00,0.7068627450980391
100076,Lemon Soda,143,83.66,59.34,41.5,178.02,4.73,Chinese,Delhi,Hidden Star,3,2026-03-21 16:21:00,0.6782690498588899
100077,Coke,226,120.6,105.4,46.64,210.8,4.68,Chinese,Bangalore,Star,2,2026-03-16 18:22:00,0.7108585858585857
100077,Latte,158,89.86,68.14,43.13,68.14,4.17,Street Food,Bangalore,Star,1,2026-03-16 18:22:00,0.0
100077,Sweet Corn Soup,379,204.3,174.7,46.09,349.4,4.09,North Indian,Bangalore,Dog,2,2026-03-16 18:22:00,0.0
100078,Chocolate Lava Cake,197,96.96,100.04,50.78,100.04,4.83,Fast Food,Jaipur,Star,1,2026-03-15 13:41:00,0.0
100078,Chole Bhature,281,143.58,137.42,48.9,412.26,4.43,North Indian,Jaipur,Hidden Star,3,2026-03-15 13:41:00,0.0
100078,Strawberry Shake,82,49.73,32.27,39.35,64.54,4.42,Fast Food,Jaipur,Dog,2,2026-03-15 13:41:00,0.0
